empresa,anio,ingresos_acumulados,gastos_acumulados,ebitda,margen_bruto,resultado_ejercicio,contribuciones,patente_municipal,ingresos_financieros,deuda_total,debitos_acumulados,creditos_acumulados,saldo_deudor,saldo_acreedor,inventario_activo,inventario_pasivo,resultado_perdida,resultado_ganancia,analisis_saldo_cuenta_total,resultado_ejercicio_balance,total_general_saldo_cuenta,ratio_deuda_total_sobre_ebitda,crecimiento_pct_ingresos_acumulados_vs_anio_anterior,crecimiento_pct_gastos_acumulados_vs_anio_anterior,crecimiento_pct_ebitda_vs_anio_anterior,crecimiento_pct_margen_bruto_vs_anio_anterior,crecimiento_pct_resultado_ejercicio_vs_anio_anterior,crecimiento_pct_contribuciones_vs_anio_anterior,crecimiento_pct_patente_municipal_vs_anio_anterior,crecimiento_pct_ingresos_financieros_vs_anio_anterior,crecimiento_pct_deuda_total_vs_anio_anterior,crecimiento_pct_debitos_acumulados_vs_anio_anterior,crecimiento_pct_creditos_acumulados_vs_anio_anterior,crecimiento_pct_saldo_deudor_vs_anio_anterior,crecimiento_pct_saldo_acreedor_vs_anio_anterior,crecimiento_pct_inventario_activo_vs_anio_anterior,crecimiento_pct_inventario_pasivo_vs_anio_anterior,crecimiento_pct_resultado_perdida_vs_anio_anterior,crecimiento_pct_resultado_ganancia_vs_anio_anterior,crecimiento_pct_analisis_saldo_cuenta_total_vs_anio_anterior,crecimiento_pct_resultado_ejercicio_balance_vs_anio_anterior,crecimiento_pct_total_general_saldo_cuenta_vs_anio_anterior,crecimiento_pct_ratio_deuda_sobre_ebitda_vs_anio_anterior
CTERGSPA,2025,0.0,-6289835.0,-6280635.0,0.0,-6289835.0,0.0,0.0,0.0,0.0,2281903742.0,2281903742.0,404126500.0,404126500.0,17569689.0,24730935.0,386556811.0,379395565.0,30019614.0,-7161246.0,30019614.0,,,,,,,,,,,,,,,,,,,,,,
CTERGSPA,2026,0.0,-4719764.0,-4719764.0,0.0,-4719764.0,0.0,0.0,0.0,0.0,1299168653.0,1299168653.0,324106705.0,324106705.0,61340865.0,68707867.0,262765840.0,255398838.0,8001792.0,-7367002.0,8001792.0,,,0.2496203795489071,0.24852120844468753,,0.2496203795489071,,,,,-0.4306645678834248,-0.4306645678834248,-0.19800679985103675,-0.19800679985103675,2.491289174213613,1.7782155021635857,-0.320240046164909,-0.32682703341563835,-0.7334478717814293,-0.028731871520682295,-0.7334478717814293,
FIDELMIRA,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18713442486.0,80833961119.0,80833961119.0,71270749190.0,71270749190.0,71270749190.0,71270749190.0,0.0,0.0,137969790046.0,0.0,137969790046.0,,,,,,,,,,,,,,,,,,,,,,
FIDELMIRA,2014,5157020028.0,-2169491114.0,3690928420.0,3665291381.0,2987528914.0,-133903945.0,0.0,376917564.0,17234416953.0,428866891709.0,428866891709.0,106928621342.0,106928621342.0,101022391446.0,97813305830.0,5906229896.0,9115315512.0,195966083506.0,3209085616.0,195966083506.0,4.66939885900036,,,,,,,,,-0.07903545988967538,4.305528589371516,4.305528589371516,0.5003156632595516,0.5003156632595516,0.41744534180053844,0.3724186562041105,,,0.4203550171429823,,0.4203550171429823,
FIDELMIRA,2015,5757444449.0,-3277159855.0,4066397667.0,4165041402.0,2480284594.0,-352025975.0,0.0,270289080.0,15577975863.0,203461099259.0,203461099259.0,106939486444.0,106939486444.0,100883940870.0,98459040678.0,6055545574.0,8480445766.0,194619035490.0,2424900192.0,194619035490.0,3.8309032068899227,0.11642856101779715,-0.5105661571287726,0.10172758836650644,0.1363466008706935,-0.1697872504674276,-1.628944016548579,,-0.2828960339985642,-0.09611239501268204,-0.5255845037414199,-0.5255845037414199,0.00010161079291623062,0.00010161079291623062,-0.0013704939471167307,0.0066017076359967865,0.02528104740743739,-0.06964868579307165,-0.006873883438910268,-0.24436413291380382,-0.006873883438910268,-0.17957250546164416
FIDELMIRA,2016,7982661065.0,-3747554623.0,5654526089.0,4242198861.0,4235106442.0,-444120209.0,0.0,1785180704.0,14117324373.0,205503568829.0,205503568829.0,112306148489.0,112306148489.0,106135874189.0,101987694325.0,6170274300.0,10318454164.0,198604329174.0,4148179864.0,198604329174.0,2.496641478136082,0.38649380566520164,-0.14353732769010744,0.3905492162972953,0.018525016092985288,0.7075082642713862,-0.26161204155460405,,5.6047089434763695,-0.09376388196038124,0.010038624471403235,0.010038624471403235,0.0501841015274588,0.0501841015274588,0.052059160989435284,0.03583879776505332,0.018946059376152256,0.21673488030180985,0.020477409488573763,0.7106600418793649,0.020477409488573763,-0.34828907354123584
FIDELMIRA,2017,6895400436.0,-3877449304.0,4507940081.0,4281402106.0,3017951132.0,-470950819.0,-8654597.0,603289737.0,12591311300.0,209636404668.0,209636404668.0,113567839154.0,113567839154.0,107668301427.0,104090187005.0,5899537727.0,9477652149.0,200627287636.0,3578114422.0,200627287636.0,2.7931407857592596,-0.13620278001869543,-0.034661184176687586,-0.2027731395970574,0.00924125584031644,-0.28739662784607767,-0.060412945541057333,,-0.6620567678956942,-0.10809506339023893,0.02011077404908205,0.02011077404908205,0.011234386380221902,0.011234386380221902,0.014438353193107462,0.020615160426120358,-0.04387755873349099,-0.08148526917272839,0.010185872938487953,-0.13742543975667879,0.010185872938487953,0.1187592652848718
FIDELMIRA,2018,6963731941.0,-4234037595.0,3877108217.0,3954431521.0,2729694346.0,-596892810.0,-73693917.0,326421960.0,11000515330.0,244839860450.0,244839860450.0,129087997187.0,129087997187.0,122867782432.0,119766946585.0,6220214755.0,9321050602.0,235002090576.0,3100835847.0,235002090576.0,2.837299016252865,0.009909722522168544,-0.09196465589689112,-0.13993794342094762,-0.07636997808306305,-0.09551406679304707,-0.2674206858105071,-7.515002720519512,-0.4589300298340729,-0.12634077040093514,0.16792625230217775,0.16792625230217775,0.13665979865967504,0.13665979865967504,0.14116950674944356,0.15060746868719682,0.05435629753368301,-0.016523242733330664,0.1713366279584387,-0.13338829302535926,0.1713366279584387,0.015809525505747796
FIDELMIRA,2019,7412286236.0,-5586043158.0,3475466809.0,3601190321.0,1826243078.0,-716835212.0,-52350799.0,339979167.0,9605624358.0,258349329797.0,258349329797.0,143948317839.0,143948317839.0,136276959427.0,134468323400.0,7671358412.0,9479994439.0,260012431802.0,1808636027.0,260012431802.0,2.763837172354938,0.06441291807329205,-0.3193182707202674,-0.10359303520054416,-0.0893279345271535,-0.33097158636969237,-0.20094462521671186,0.28961844978331114,0.04153276636167493,-0.12680232972322034,0.05517675644059942,0.05517675644059942,0.1151177566917626,0.1151177566917626,0.10913501269074487,0.1227498674232816,0.2332947838872486,0.01705213755259474,0.10642603716715286,-0.41672629050976007,0.10642603716715286,-0.0258914705419191
FIDELMIRA,2020,8001674860.0,-6001595692.0,3938786358.0,3627051066.0,2000079168.0,-801998378.0,0.0,795440891.0,8275976859.0,292440697055.0,292440697055.0,155688019031.0,155688019031.0,147107827526.0,144707785797.0,8580191505.0,10980233234.0,279699965224.0,2400041729.0,279699965224.0,2.1011489598035213,0.07951509227172808,-0.07439121436161307,0.13331145842054853,0.007181165863185713,0.09518781595622837,-0.118804384291323,1.0,1.339675392521919,-0.1384238493453691,0.13195841183248883,0.13195841183248883,0.0815549731197995,0.0815549731197995,0.079476884020162,0.07614776579418554,0.11847094662900232,0.15825313027907778,0.07571766198083982,0.3269898935834921,0.07571766198083982,-0.23977107594466956
